filename,latitude,longitude
1965-004-0001.ctd,48.92,-123.1
1965-004-0002.ctd,48.92,-123.1
1965-004-0003.ctd,48.91,-123.09
1965-004-0004.ctd,48.91,-123.09
1965-004-0005.ctd,48.91,-123.09
1965-004-0006.ctd,48.91,-123.09
1965-004-0007.ctd,48.91,-123.09
1965-004-0008.ctd,48.91,-123.09
1965-004-0009.ctd,48.93,-123.11
1965-004-0010.ctd,48.93,-123.11
1965-004-0011.ctd,48.93,-123.11
1965-004-0012.ctd,48.93,-123.11
1965-004-0013.ctd,48.93,-123.11
1965-004-0014.ctd,48.93,-123.1
1965-004-0015.ctd,48.93,-123.1
1965-004-0016.ctd,48.93,-123.1
1965-004-0017.ctd,48.93,-123.1
1965-004-0018.ctd,48.93,-123.1
1965-004-0019.ctd,48.93,-123.1
1965-004-0020.ctd,48.93,-123.1
1965-004-0021.ctd,49.06,-123.52
1965-004-0022.ctd,48.97,-123.34
1966-061-0001.ctd,52.385,-126.805
1966-061-0002.ctd,52.37333,-126.8383
1966-061-0003.ctd,52.37833,-126.8417
1966-061-0004.ctd,52.385,-126.8467
1966-061-0005.ctd,52.37,-126.88
1966-061-0006.ctd,52.32,-126.9867
1966-061-0007.ctd,52.305,-126.9783
1966-061-0008.ctd,52.385,-126.805
1966-061-0009.ctd,52.37,-126.88
1966-061-0010.ctd,52.32,-126.9867
1966-061-0011.ctd,52.385,-126.805
1966-061-0012.ctd,52.385,-126.805
1966-061-0013.ctd,52.37333,-126.8383
1966-061-0014.ctd,52.37833,-126.8417
1966-061-0015.ctd,52.385,-126.8467
1966-061-0016.ctd,52.37,-126.88
1966-061-0017.ctd,52.385,-126.805
1966-061-0018.ctd,52.37333,-126.8383
1966-061-0019.ctd,52.37833,-126.8417
1966-061-0020.ctd,52.385,-126.8467
1966-061-0021.ctd,52.37,-126.88
1966-061-0022.ctd,52.32,-126.9867
1966-061-0023.ctd,52.385,-126.805
1966-061-0024.ctd,52.37333,-126.8383
1966-061-0025.ctd,52.37833,-126.8417
1966-061-0026.ctd,52.385,-126.8467
1966-061-0027.ctd,52.37,-126.88
1966-061-0028.ctd,52.32,-126.9867
1966-061-0029.ctd,52.37,-126.88
1966-061-0030.ctd,52.305,-126.9783
1966-061-0031.ctd,52.19667,-127.4583
1966-061-0032.ctd,52.20333,-127.4583
1966-061-0033.ctd,52.13167,-127.615
1966-061-0034.ctd,52.02167,-127.6683
1966-061-0035.ctd,51.95833,-127.7267
1966-061-0036.ctd,52.08167,-127.63
1966-061-0037.ctd,52.08167,-127.6617
1966-061-0038.ctd,52.08167,-127.645
1966-061-0039.ctd,52.385,-126.805
1966-061-0040.ctd,52.37333,-126.8383
1966-061-0041.ctd,52.37833,-126.8417
